Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Other Name(s),Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (L),Weight,Top Speed,Diet,Prey,Predators,Lifestyle,Group Behaviour,Lifespan,Age Of Sexual Maturity,Gestation Period,Average Litter Size,Name Of Young,Age Of Weaning,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,
Hippopotamus,https://a-z-animals.com/media/animals/images/470x370/hippo4.jpg ,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,Hippopotamus amphibius,Hippopotamus,Common Hippopotamus| Water Horse,Mammal,1,Sub-Saharan Africa,Lakes| rivers and wetlands,Grey| Brown| Black| Pink,Leather,2m - 5m (6.5ft - 16.5ft),1tonne - 4.5tonnes (2|200lbs - 9|900lbs),45kph (30mph),Herbivore,Grasses| Grain| Flowers,Lions| Hyenas| Crocodiles,Nocturnal,Herd,40 - 50 years,6 - 14 years,240 days,1,Calf,18 months,Vulnerable,150|000,Hunting and habitat loss,Ears| eyes and nostrils on top of the head,Has pink anti-bacterial sweat!,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Scientific Name,Type,Diet,Size,Weight,Top Speed,Lifespan,Lifestyle,Conservation Status,Colour,Skin Type,Favourite Food,Habitat,Average Litter Size,Main Prey,Predators,Special Features,
Rhinoceros,https://a-z-animals.com/media/animals/images/470x370/rhino8.jpg ,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinocerotidae,Mammal,Herbivore,1.3-2.2m (51-86in),800-3|500kg (1|765-7|716lbs),48km/h (30mph),35-50 years,Solitary,Endangered,Brown| Grey| Black,Leather,Grass,Tropical bushland| grassland and savannas,1,Grass| Fruit| Berries| Leaves,Human| Wild cats,Hard| thick skin and two large horns,
