 Image Link , Phylum, Size (L), Extinct, Litter Size, Main Prey, Color, Age Of Independence, Scientific Name, Weight, Type, Temperament, Wingspan, Average Size (L), Optimum pH Level, Skin Type, Favourite Food, Water Type, Top Speed, Size, Age Of Sexual Maturity, Incubation Period, Common Name, Biggest Threat, Order, Other Name(s), Lifestyle, Average Weight, Average Lifespan, Family, Average Spawn Size, Lifespan, Prey, Diet, Conservation Status, Size (H), Group Behaviour, Average Litter Size, Animal Name , Location, Kingdom, Average Clutch Size, Estimated Population Size, Fun Fact, Predators, Training, Average Size (H), Gestation Period, Age Of Fledgling, Class, Special Features, Average Size, Subfamily, Name Of Young, Distinctive Features, Age Of Weaning, Most Distinctive Feature, Genus, Habitat, Wing Span, Group, Number Of Species, Origin, Colour, 
https://a-z-animals.com/media/animals/images/470x370/molly4.jpg ,Chordata,5cm - 10cm (2in - 4in), , ,Algae| Insects| Bloodworm, , ,Poecilia, , , , , ,7.5 - 8.5,Scales,Algae,Fresh, , , , ,Molly, ,Cyprinodontiformes, , , , ,Poeciliidae, ,3 - 5 years, ,Omnivore,Threatened, , , ,Molly, ,Animalia,80, , ,Large Fish| Birds| Reptiles, , , , ,Actinopterygii, , , , ,Large-sized fins and bear live young, , ,Poecilia,Rivers in the Amazon Rainforest, , , ,Central America,Brown| Black| Yellow| White| Green| Blue| Red| Orange,
https://a-z-animals.com/media/animals/images/470x370/mongoose7.jpg ,Chordata, , , ,Rats| Eggs| Insects, , ,Helogale Parvula,0.3-4kg (0.7-8.8lbs),Mammal, , , , ,Fur,Rats, ,32km/h (20mph),18-120cm (7-47in), , , , ,Carnivora, ,Gang, , ,Herpestidae, ,10-15 years, ,Omnivore,Endangered, , ,4,Mongoose, ,Animalia, , , ,Hawks| Snakes| Jackal, , , , ,Mammalia,Long tail and docile temperament, , , , , , , ,Open forests and grass plains, , , , ,Tan| Brown| Grey,
https://a-z-animals.com/media/animals/images/470x370/mongrel.jpg , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Mongrel, , , , , , , , , , , , , , , , , , , , , , , , , ,
https://a-z-animals.com/media/animals/images/470x370/monitor_lizard2.jpg ,Chordata, , , ,Rodents| Snakes| Lizards, , ,Varanus Indicus,1-166kg (2.2-366lbs),Reptile, , , , ,Scales,Rodents, ,45km/h (28mph),12-310cm (4.7-122in), , , , ,Squamata, ,Solitary, , ,Varanidae, ,8-30 years, ,Omnivore,Threatened, , ,10,Monitor Lizard, ,Animalia, , , ,Human| Snakes| Wildcats, , , , ,Reptilia,Large| powerful body and sharp claws, , , , , , ,Varanus,River banks and coastal forests, , , , ,Tan| Brown| Grey| Green,
https://a-z-animals.com/media/animals/images/470x370/monkey9.jpg ,Chordata, , , ,Fruit| Seeds| Insects, , ,Macaca Fascicularis,0.1-30kg (0.22-60lbs),Mammal, , , , ,Hair,Fruit, ,56km/h (35mph),14-100cm (5.5-39in), , , , ,Primates, ,Troop, , ,Cebidae, ,10-30 years, ,Omnivore,Least Concern, , ,1,Monkey, ,Animalia, , , ,Birds| Snakes| Wildcats, , , , ,Mammalia,Long| agile tail and loud vocal calls, , , , , , , ,Tropical forests| grasslands and mountainous plains, , , , ,Tan| Brown| Grey| Black| White| Yellow,
https://a-z-animals.com/media/animals/images/470x370/monte_iberia_eleuth3.jpg ,Chordata,9.6mm - 9.8mm (0.37in - 0.38in), , ,Insects| Moths| Spiders, , ,Eleutherodactylus Iberia,1.5g - 2g (0.05oz - 0.07oz),Amphibian, , , , ,Permeable,Insects, ,8km/h (5mph), , , , , ,Anura, ,Solitary, , ,Leptodactylidae, ,1 - 3 years, ,Carnivore,Critically Endangered, , , ,Monte Iberia Eleuth, ,Animalia,1, , ,Fish| Toads| Birds, , , , ,Amphibia, , , , ,Tiny body size with bright yellow stripes, , ,Eleutherodactylus,Water around Mount Iberia, , , , ,Black| Yellow| Brown| White,
https://a-z-animals.com/media/animals/images/470x370/moorhen.jpg ,Chordata,25cm - 38cm (10in - 15in), , ,Insects| Rodents| Berries, , ,Gallinula,70g - 400g (2.5oz - 14oz),Bird, ,50cm - 80cm (20in - 31in), , ,Feathers,Insects, ,35km/h (22mph), , , , , ,Gruiformes, ,Flock, , ,Rallidae, ,1 - 3 years, ,Omnivore,Least Concern, , , ,Moorhen, ,Animalia,7, , ,Foxes| Dogs| Raccoons, , , , ,Aves, , , , ,Small rounded head and pointed beak, , ,Gallinula,Marshes| wetlands and ponds, , , , ,Black| White| Brown,
https://a-z-animals.com/media/animals/images/470x370/moose.jpg ,Chordata, , , ,Grass| Twigs| Pondweed, , ,Alces Alces,270-720kg (600-1|580lbs),Mammal, , , , ,Hair,Grass, ,32km/h (20mph),1.8-2.1m (6-7ft), , , , ,Artiodactyla, ,Herd, , ,Cervidae, ,10-16 years, ,Herbivore,Least Concern, , ,1,Moose, ,Animalia, , , ,Human| Bear| Wolves, , , , ,Mammalia,Long head and large antlers on the male, , , , , , ,Alces,Forest areas close to the Arctic tundra, , , , ,Tan| Brown| Grey,
https://a-z-animals.com/media/animals/images/470x370/moray_eel6.jpg ,Chordata, , , ,Fish| Squid| Crustaceans, , ,Muraenidae, , , , , ,5.0 - 7.0,Scales,Fish,Salt, ,11-400cm (4-157in), , ,Moray Eel, ,Anguilliformes, , , , ,Muraenidae, ,10-30 years, ,Carnivore,Least Concern, , , ,Moray Eel, ,Animalia,10|000, , ,Sharks| Humans| Barracuda, , , , ,Actinopterygii,Sharp teeth and elongated body, , , , , , , ,Coastal and deep waters, , , ,Tropical and temperate waters,Grey| Black| Brown| White| Yellow| Green| Blue| Orange,
https://a-z-animals.com/media/animals/images/470x370/moth.jpg ,Arthropoda, , , ,Nectar| Fruits| Natural Fabrics, , ,Gynnidomorpha Alisman, , , , , , ,Hair,Nectar, , ,0.6-30cm (0.2-12in), , ,Moth, ,Lepidoptera, , , ,40 days, , , , ,Herbivore,Threatened, , ,100,Moth, ,Animalia, , , ,Birds| Bats| Lizards| Spiders, , , , ,Insecta,Long| curled tongue and delicate| patterned wings, , , , , , , ,Quiet forests and pastures, , ,9|000, ,Red| Black| Yellow| Orange| Brown| White,
