 Image Link , Phylum, Size (L), Extinct, Litter Size, Main Prey, Color, Age Of Independence, Scientific Name, Weight, Type, Temperament, Wingspan, Average Size (L), Optimum pH Level, Skin Type, Favourite Food, Water Type, Top Speed, Size, Age Of Sexual Maturity, Incubation Period, Common Name, Biggest Threat, Order, Other Name(s), Lifestyle, Average Weight, Average Lifespan, Family, Average Spawn Size, Lifespan, Prey, Diet, Conservation Status, Size (H), Group Behaviour, Average Litter Size, Animal Name , Location, Kingdom, Average Clutch Size, Estimated Population Size, Fun Fact, Predators, Training, Average Size (H), Gestation Period, Age Of Fledgling, Class, Special Features, Average Size, Subfamily, Name Of Young, Distinctive Features, Age Of Weaning, Most Distinctive Feature, Genus, Habitat, Wing Span, Group, Number Of Species, Origin, Colour, 
https://a-z-animals.com/media/animals/images/470x370/aardvark_1.jpg ,Chordata,1.05m - 2.20m (3.4ft - 7.3ft), , , , , ,Orycteropus afer,60kg - 80kg (130lbs - 180lbs), , , , , ,Hair, , ,40kph (25mph), ,2 years, ,Aardvark,Habitat loss,Tubulidentata,Antbear| Earth Pig,Nocturnal, , ,Orycteropodidae, ,23 years,Termites| Ants,Omnivore,Least Concern, ,Solitary,1,Aardvark,Sub-Saharan Africa,Animalia, ,Unknown,Can move up to 2ft of soil in just 15 seconds!,Lions| Leopards| Hyenas, , ,7 months, ,Mammalia, , , ,Cub, ,3 months,Long| sticky tongue and rabbit-like ears,Orycteropus,Sandy and clay soil, ,Mammal,18, ,Brown| grey| yellow,
https://a-z-animals.com/media/animals/images/470x370/abyssinian2.jpg , , , , , , , , , ,Shorthair,Intelligent and curious, ,60cm (2ft), , , , , , , , ,Abyssinian, , , , ,4.5kg (10lbs),15 years, , , , , , , , ,6,Abyssinian, , , , , , ,Easy, , , , , , , , ,Silky fur and almond shaped eyes, , , , , ,Cat, ,Egypt,Fawn| Red| Blue| Grey,
https://a-z-animals.com/media/animals/images/470x370/adelie_penguin2.jpg ,Chordata, , , , , , ,Pygoscelis adeliae,3kg - 6kg (7lbs - 13lbs), , ,35cm - 70cm (14in - 27.5in), , ,Feathers, , ,72kph (45mph), ,2 - 3 years,2 months,Adelie Penguin,Rapid ice melt,Sphenisciformes, ,Diurnal, , ,Spheniscidae, ,10 - 20 years,Krill| Fish| Squid,Carnivore,Least Concern,40cm - 75cm (16in - 30in),Colony, ,Adelie Penguin,Coastal Antarctica,Animalia,2,5 million,Eats up to 2kg of food per day! ,Leopard Seal| Skua Gull| Killer Whale, , , ,90 days,Aves, , , ,Chicks, , ,Small white circle around each eye,Pygoscelis,Antarctic land and ocean, ,Bird,1, ,Black with white chest,
https://a-z-animals.com/media/animals/images/470x370/affenpinscher_dog.jpeg , , , , , , , , , ,Terrier,Alert and inquisitive, , , , , , , , , , ,Affenpinscher, , , , ,3.6kg (8lbs),12 years, , , , , , , , ,3,Affenpinscher, , , , , , ,Medium,25cm (10in), , , , , , , ,Dark wiry-haired body and dark eyes, , , , , ,Dog, ,Germany,Black| Grey,
https://a-z-animals.com/media/animals/images/470x370/afghan_hound1.jpg , , , , , , , , , ,Hound,Alert yet reserved and lively, , , , , , , , , , ,Afghan Hound , , , , ,27kg (60lbs),14 years, , , , , , , , ,7,Afghan Hound, , , , , , ,Moderately Easy,68cm (27in), , , , , , , ,Long fur and pointed muzzle, , , , , ,Dog, ,Afghanistan,Black| White| Brown| Gold,
https://a-z-animals.com/media/animals/images/470x370/african_bush_elephant_24.jpg ,Chordata, , , , , , ,Loxodonta africana africana,3|600kg - 5|400kg (7|900lbs - 12|000lbs), , , , , ,Leather, , ,40kph (25mph), ,11 - 20 years, ,African Bush Elephant,Poaching and habitat loss,Proboscidea,African Elephant,Diurnal, , ,Elephantidae, ,60 - 70 years,Grass| Fruit| Roots,Herbivore,Threatened,3m - 3.5m (10ft - 12ft),Herd,1,African Bush Elephant,central and southern Africa,Animalia, ,300|000,Can drink up to 50 gallons a day!,Human| Lion| Hyena, , ,20 - 24 months, ,Mammalia, , , ,Calf, ,6 - 18 months,Large| rounded ears,Loxodonta,Forest| savannah and flood plains, ,Mammal,1, ,Grey| Brown,
https://a-z-animals.com/media/animals/images/470x370/african_civet4.jpg ,Chordata, , , , , , ,Civettictis civetta,1.4kg - 4.5kg (3lbs - 10lbs), , , , , ,Fur, , , , ,11 - 12 months, ,African Civet,Habitat loss,Carnivora, ,Nocturnal, , ,Viverridae, ,15 - 20 years,Rodents| Snakes| Frogs,Omnivore,Least Concern,43cm - 71cm (17in - 28in),Solitary,3,African Civet,across sub-Saharan Africa,Animalia, ,Abundant,Secretes up to 4g of musk every week!,Lions| Snakes| Leopards, , ,60 - 70 days, ,Mammalia, , , ,Pup, ,8 - 10 weeks,Black band around their eyes,Civettictis,Tropical rainforest, ,Mammal,1, ,Black| White| Grey| Yellow| Brown| Tan,
https://a-z-animals.com/media/animals/images/470x370/african_clawed_frog7.jpg ,Chordata,2.5cm - 12cm (1in - 5in), , , , ,5 days,Xenopus laevis,25g - 220g (1oz - 8oz), , , , , ,Permeable Scales, ,Fresh,8km/h (5mph), ,10 -  12 months,4 - 5 days,African Clawed Frog,Water pollution,Anura,Platanna,Nocturnal, , ,Pipidae,2|000,8 - 15 years,Small Fish| Insects| Spiders,Carnivore,Least Concern, ,Solitary, ,African Clawed Frog,eastern and southern Africa,Animalia, ,Abundant,A particularly ferocious amphibian!,Snakes| Birds| Small Mammals, , , , ,Amphibia, , , ,Tadpole, , ,Clawed front toes,Xenopus,Warm stagnant water with grassland, ,Amphibian,1, ,Brown| Grey| Albino,
https://a-z-animals.com/media/animals/images/470x370/african_elephant.jpg ,Chordata, , , , , , ,Loxodonta cyclotis,900kg - 3|000kg (1|984lbs - 6|613lbs), , , , , ,Leather, , ,39km/h (24mph), ,11 - 20 years, ,African Forest Elephant,Poaching and habitat loss,Proboscidea,African Elephant,Diurnal, , ,Elephantidae, ,60 - 70 years,Grass| Fruit| Roots,Herbivore,Endangered,2m - 3m (6.6ft - 9.8ft),Herd,1,African Forest Elephant,central and southern Africa,Animalia, ,200|000,The largest known mammal on land!,Human| Lion| Hyena, , ,22 - 24 months, ,Mammalia, , , ,Calf, ,5 years,Rounded ears and thin| straight tusks,Loxodonta,Forest| savannah and flood plains, ,Mammal,1, ,Grey| Brown,
https://a-z-animals.com/media/animals/images/470x370/african_palm_civet.jpg ,Chordata, , , , , , ,Nandinia binotata,1.4kg - 4.5kg (3lbs - 10lbs), , , , , ,Fur, , , , ,2 - 3 years, ,African Palm Civet,Habitat loss,Carnivora,Two-Spotted Palm Civet,Crepuscular, , ,Nandiniidae, ,15 - 20 years,Rodents| Snakes| Frogs,Omnivore,Least Concern,43cm - 71cm (17in - 28in),Solitary,2,African Palm Civet,eastern Africa,Animalia, ,Locally abundant,Solitary but gathers in groups!,Lions| Snakes| Leopards, , ,64 days, ,Mammalia, , , ,Pup, ,2 months,Snout with sharp| pointed teeth,Nandinia,Tropical rainforest, ,Mammal,1, ,Black| White| Grey| Yellow| Brown| Tan,
https://a-z-animals.com/media/animals/images/470x370/african_penguin3.jpg ,Chordata, , , , , , ,Spheniscus demersus,2kg - 5kg (4.4lbs - 11lbs), , , , , ,Feathers, ,Salt,20kph (12.4mph), ,3 - 4 years,40 days,African Penguin,Habitat disruption,Sphenisciformes,Jackass Penguin,Diurnal, , ,Spheniscidae, ,10 - 15 years,Fish| Squid| Crustaceans,Carnivore,Endangered,60cm - 68cm (24in - 27in),Colony, ,African Penguin,south-west African coast,Animalia,2,140|000,The only penguin species in Africa!,Sharks| Fur Seals| Gulls, , , ,3 - 5 months,Aves, , , ,Chick, , ,Pink glands above their eyes,Spheniscus,Rocky Ocean Islands, ,Bird,1, ,Black| White| Grey,
https://a-z-animals.com/media/animals/images/470x370/african_tree_toad.jpg ,Chordata,2.5cm - 3.8cm (1in - 1.5in), , , , , ,Nectophryne afra,2g - 5g (0.07oz - 0.18oz),Amphibian, , , , ,Permeable, , ,8km/h (5mph), , , , , ,Anura, ,Solitary, , ,Bufonidae,100,3 - 5 years,Insects| Worms| Snails,Carnivore,Least Concern, , , ,African Tree Toad,Central Africa,Animalia, , , ,Fish| Toads| Birds, , , , ,Amphibia, , , , ,Small body size and webbed feet, , ,Nectophryne,Tropical lowland forest, , , , ,Brown| Black| White| Tan,
https://a-z-animals.com/media/animals/images/470x370/african_wild_dog4.jpg ,Chordata,75cm - 110cm (29in - 43in), , , , , ,Lycaon pictus,17kg - 36kg (39lbs - 79lbs), , , , , ,Fur, , ,72kph (45mph), ,12 - 18 months, ,African Wild Dog,Habitat loss,Carnivora,Hunting Dog| Painted Dog| Painted Wolf,Crepuscular, , ,Canidae, ,10 - 13 years,Antelope| Warthog| Rodents,Carnivore,Endangered, ,Pack,8,African Wild Dog,sub-Saharan Africa,Animalia, ,Less than 5|000,Also known as the painted dog!,Lions| Hyenas| Humans, , ,70 days, ,Mammalia, , , ,Pup, ,3 months,Four toes on each foot rather than five,Lycaon,Open plains and savanna, ,Mammal,1, ,Grey| Black| White| Brown| Tan| Gold| Red,
https://a-z-animals.com/media/animals/images/470x370/ainu_dog.jpg , , , , , , , , , ,Working,Fearless| determined and loyal, , , , , , , , , , ,Ainu Dog, , , , ,30kg (65lbs),12 years, , , , , , , , ,7,Ainu Dog, , , , , , ,Hard,50cm (20in), , , , , , , ,Sharply pointed ears and upturned tail, , , , , ,Dog, ,Japan,Grey| Tan| Brown| White,
https://a-z-animals.com/media/animals/images/470x370/airedale_terrier.jpg , , , , , , , , , ,Terrier,Friendly| adaptable and courageous, , , , , , , , , , ,Airedale Terrier, , , , ,20kg (44lbs),12 years, , , , , , , , ,8,Airedale Terrier , , , , , , ,Fairly Easy,58cm (23in), , , , , , , ,Long muzzle and square body, , , , , ,Dog, ,Great Britain,Black| Tan| Brown,
https://a-z-animals.com/media/animals/images/470x370/akbash_dog1.jpg , , , , , , , , , ,Guard,Calm| independent| brave and protective, , , , , , , , , , ,Akbash, , , , ,63kg (140lbs),11 years, , , , , , , , ,8,Akbash, , , , , , ,Hard,86cm (34in), , , , , , , ,Big head and powerful jaws, , , , , ,Dog, ,Turkey,White| Brown,
https://a-z-animals.com/media/animals/images/470x370/akita_dog.jpg , , , , , , , , , ,Working,Intelligent| courageous and fearless, ,71cm (28in), , , , , , , , ,Akita, , , , ,50kg (110lbs),10 years, , , , , , , , ,7,Akita, , , , , , ,Medium - Hard, , , , , , , , ,Pointed ears and upward curving tail, , , , , ,Dog, ,Japan,Brown| White| Black| Grey,
https://a-z-animals.com/media/animals/images/470x370/alaskan_malamute6.jpg , , , , , , , , , ,Working,Affectionate| friendly and loyal, , , , , , , , , , ,Alaskan Malamute, , , , ,38kg (85lbs),14 years, , , , , , , , ,6,Alaskan Malamute, , , , , , ,Medium,63cm (25in), , , , , , , ,Pointed face and upturned tail, , , , , ,Dog, ,North America,White| Black| Grey,
https://a-z-animals.com/media/animals/images/470x370/albatross3.jpg ,Chordata,0.9m - 1.3m (35in - 51in), , ,Fish| Crab| Squid, , ,Diomedeidae,8kg - 10kg (17lbs - 22lbs), , ,2m - 3.4m (78in - 134in), , ,Feathers, ,Salt,64kph (40mph), ,2 - 7 years,2 - 3 months,Albatross,Lone-line fishing,Procellariiformes,Tubenose,Diurnal, , ,Diomedeidae, ,12 - 40 years, ,Carnivore,Endangered, ,Colonial Nesting, ,Albatross,across the southern seas,Animalia,1,Low,The largest wingspan of any bird!,Humans| Tiger Sharks, , , ,5 - 10 months,Aves, , , ,Chick, , ,Long| hook-tipped beak, ,southern waters and islands, ,Bird,21, ,Black| White| Brown| Red| Yellow,
https://a-z-animals.com/media/animals/images/470x370/aldabra_giant_tortoise5.jpg ,Chordata,90cm - 120cm (3ft - 4ft), , , , ,3 - 6 months,Geochelone gigantea,150kg - 250kg (330lbs - 550lbs), , , , , ,Scales, , ,0.5kph (0.3mph), ,20 - 30 years,8 months,Aldabra Giant Tortoise,Habitat loss,Testudines,Giant Tortoise,Diurnal, , ,Testudinidae, ,80 - 255 years,Grasses| Leaves| Flowers,Herbivore,Vulnerable, ,Herd, ,Aldabra Giant Tortoise,Aldabra atoll in the Indian Ocean,Animalia,15,200|000,One got to be 255 years old!,Giant Crab| Humans| Cats, , , , ,Reptilia, , , ,Hatchling, , ,Large| high-domed shell,Geochelone,Grasslands and swamps, ,Reptile,1, ,Black| Brown| Tan,
https://a-z-animals.com/media/animals/images/470x370/alligator6.jpg ,Chordata,2.5cm - 4.5m (8ft - 15ft), , , , ,1- 2 years,Alligator mississippiensis,181kg - 363kg (400lbs - 800lbs), , , , , ,Scales, ,Fresh| Brackish,24kph (15mph), ,10 - 12 years,2 months,Alligator,Water pollution,Crocodilia,Gator,Diurnal/Nocturnal, , ,Alligatoridae, ,30 - 60 years,Fish| Snakes| Turtles,Carnivore,Least Concern, ,Solitary, ,Alligator,southern USA and China,Animalia,35,1 million/less than 100,They have two sets of eyelids!,Human| Birds| Raccoon, , , , ,Reptilia, , , ,Hatchling, , ,Muscular tail half the total body length,Alligator,Marsh and swampland, ,Reptile,2, ,Green| Grey| Black| Brown| Yellow,
https://a-z-animals.com/media/animals/images/470x370/alpine_dachsbracke1.jpg , , , , , , , , , ,Scent Hound,Fearless| friendly and intelligent, , , , , , , , , , ,Alpine Dachsbracke, , , , ,18kg (40lbs),12 years, , , , , , , , ,8,Alpine Dachsbracke, , , , , , ,Easy,35cm (14in), , , , , , , ,Elongated body and short| stocky legs, , , , , ,Dog, ,Austria,Red| Black| Brown,
https://a-z-animals.com/media/animals/images/470x370/american_cocker_spaniel1.jpg , , , , , , , , , ,Gun Dog,Friendly| happy and enthusiastic, , , , , , , , , , ,American Cocker Spaniel, , , , ,12.7kg (28lbs),15 years, , , , , , , , ,4,American Cocker Spaniel, , , , , , ,Easy, , , , , ,38cm (15in), , ,Long| dropped ears and feathered feet, , , , , ,Dog, ,North America,White| Black| Brown| Tan| Grey| Red| Fawn,
https://a-z-animals.com/media/animals/images/470x370/american_coonhound2.jpg , , , , , , , , , ,Working ,Easy going but loyal and dedicated, , , , , , , , , , ,American Coonhound, , , , ,32kg (70lbs),12 years, , , , , , , , ,7,American Coonhound, , , , , , ,Medium,70cm (28in), , , , , , , ,Long ears and strong| muscular legs, , , , , ,Dog, ,North America,Black| Tan| Brown| White,
https://a-z-animals.com/media/animals/images/470x370/american_eskimo_dog3.jpg , , , , , , , , , ,Working,Intelligent| alert and friendly, , , , , , , , , , ,American Eskimo Dog, , , , ,9kg (20lbs),15, , , , , , , , ,5,American Eskimo Dog, , , , , , ,Fairly easy,Average Size, , , , , , , ,Bright| white coat and pointed ears, , , , , ,Dog, ,Germany,White,
https://a-z-animals.com/media/animals/images/470x370/american_foxhound2.jpg , , , , , , , , , ,Hound,Sweet| kind and loyal , , , , , , , , , , ,American Foxhound, , , , ,29kg (65lbs),11 years, , , , , , , , ,7,American Foxhound, , , , , , ,Medium,63cm (25in), , , , , , , ,Long legs and wide| flat ears, , , , , ,Dog, ,North America,Black| White| Tan,
https://a-z-animals.com/media/animals/images/470x370/american_pit_bull_terrier.jpg , , , , , , , , , ,Mastiff,Stubborn yet obedient, ,55cm (22in), , , , , , , , ,American Pit Bull Terrier, , , , ,36kg (80lbs),12 years, , , , , , , , ,8,American Pit Bull Terrier, , , , , , ,Hard, , , , , , , , ,Small and sharply pointed ears, , , , , ,Dog, ,North America,Black| White| Tan| Brown,
https://a-z-animals.com/media/animals/images/470x370/american_staffordshire_terrier2.jpg , , , , , , , , , , ,Dominant and stubborn yet loyal, , , , , , , , , , ,American Staffordshire Terrier, , , , ,22kg (50lbs),12 years, , , , , , , , ,6,American Staffordshire Terrier, , , , , , ,Should be trained from a very early age using assertive techniques and should be intensively socialised with other dogs, , , , , ,48cm (19in), , , , , , , , ,Mastiff, ,North America,Black| White| Tan| Brown,
https://a-z-animals.com/media/animals/images/470x370/american_water_spaniel1.jpg , , , , , , , , , , ,Intelligent| quiet and calm, , , , , , , , , , ,American Water Spaniel, , , , ,20kg (45lbs),12 years, , , , , , , , ,5,American Water Spaniel, , , , , , ,Should be trained from an early age using short| ongoing sessions as assertive training methods tend to be ineffective, , , , , ,42cm (18in), , , , , , , , ,Gun Dog, ,North America,Black| Dark Brown| Brown,
https://a-z-animals.com/media/animals/images/470x370/amur_leopard.jpg ,Chordata,90 cm - 180 cm (3ft - 6ft) excluding tail, , , , , ,Panthera pardus orientalis,25kg - 48kg (55lbs - 106lbs), , , , , ,Long and thick coat , , ,56 kph (35 mph), , , ,Amur leopard,Poaching and habitat loss,Carnivora, ,Solitary, , ,Felidae, ,10 - 15 years in wild; up to 20 in captivity,Deer| Cattle| hares| small mammals ,Carnivore,Critically Endangered, , ,2-3 cubs,Amur Leopard,Russia's Far East,Animalia, ,103 as of 2018 , ,Human poaching and competition with Siberian tigers, , ,90-105 days, ,Mammalia,Adapted for extreme cold with a coat that grows in the winter!, , , , , , ,Panthera,Forests , ,Mammal, , ,Light-hued in winter. reddish-yellow in summer,
https://a-z-animals.com/media/animals/images/470x370/anatolian_shepherd_dog.jpg , , , , , , , , , , ,Courageous| powerful and sturdy, , , , , , , , , , ,Anatolian Shepherd Dog, , , , ,68kg (150lbs),13 years, , , , , , , , ,9,Anatolian Shepherd Dog, , , , , , ,Should be trained from an early age and respond best to motivational training as they can be dominant and stubborn, , , , , ,76cm (30in), , , , , , , , ,Guard, ,North America,Red| Brown| White| Cream,
https://a-z-animals.com/media/animals/images/470x370/angelfish11.jpg ,Chordata,7cm - 30cm (3in - 12in), , ,Fish| Algae| Plankton, , ,Pomacanthidae, , , , , ,6.5 - 7.2,Scales,Fish,Fresh| Salt, , , , ,Angelfish, ,Perciformes, , , , ,Pomacanthidae, ,8 - 15 years, ,Omnivore,Threatened, , , ,Angelfish, ,Animalia,500, , ,Fish| Birds| Sharks| Mammals, , , , ,Actinopterygii, , , , ,Body shape and brightly coloured markings, , , ,Rivers and coral reefs, , , ,Southern Hemisphere,Black| White| Yellow| Orange| Purple| Silver| Blue| Green,
https://a-z-animals.com/media/animals/images/470x370/anteater3.jpg ,Chordata,0.9m - 2.1m (3ft - 7ft), , ,Ants| Termites| Insects, , ,Myrmecophaga Tridactyla,18kg - 40kg (40lbs - 88lbs),Mammal, , , , ,Fur,Ants, ,30km/h (18mph), , , , , ,Xenarthra, ,Solitary, , ,Myrmecophagidae, ,9 - 20 years, ,Omnivore,Threatened, , ,1,Anteater, ,Animalia, , , ,Puma| Snakes| Jaguar, , , , ,Mammalia, , , , ,Elongated snout and long sticky tongue, , ,Tamandua,Forest and grasslands, , , , ,Brown| Grey| Black| Tan,
https://a-z-animals.com/media/animals/images/470x370/antelope_11.jpg ,Chordata, , , ,Grass| Shoots| Seeds, , ,Alcelaphinae,500kg - 900kg (1|100lbs - 2|000lbs),Mammal, , , , ,Fur,Grass, ,70km/h (43mph), , , , , ,Artiodactyla, ,Herd, , ,Bovidae, ,10 - 25 years, ,Herbivore,Least Concern,1m - 1.5m (3 - 5ft), ,1,Antelope, ,Animalia, , , ,Lion| Cheetah| Crocodile, , , , ,Mammalia, , , , ,Long legs and curved antlers, , ,Antilopinae ,Forest and grasslands, , , , ,Brown| Red| Tan,
https://a-z-animals.com/media/animals/images/470x370/appenzeller_dog1.jpg , , , , , , , , , , ,Active| calm| friendly and protective of their family, , , , , , , , , , ,Appenzeller Dog, , , , ,25kg (55lbs),12 years, , , , , , , , ,6,Appenzeller Dog, , , , , , ,Should be trained from an early age and respond best to firm and consistent training, , , , , ,58cm (23in), , , , , , , , ,Sennenhund, ,Switzerland,Black| Tan| White,
https://a-z-animals.com/media/animals/images/470x370/arctic_fox_11.jpg ,Chordata,70cm - 110cm (28in - 43in), , ,Lemmings| Berries| Insects, , ,Alopex Lagopus,1.4kg - 9.4kg (3lbs - 21lbs),Mammal, , , , ,Fur,Lemmings, ,45km/h (30mph), , , , , ,Carnivora, ,Solitary, , ,Canidae, ,7 - 10 years, ,Carnivore,Least Concern, , ,5,Arctic Fox, ,Animalia, , , ,Snowy Owl| Wolf| Polar Bear, , , , ,Mammalia, , , , ,Thick fur that changes colour with season, , ,Alopex,Polar forest regions, , , , ,White| Black| Grey,
https://a-z-animals.com/media/animals/images/470x370/arctic_wolf2.jpg ,Chordata,60cm - 91cm (24in - 36in), , ,Deer| Elk| Moose, , ,Canus Lupus Arcticus,25kg - 40kg (55lbs - 88lbs),Mammal, , , , ,Fur,Deer, ,75km/h (46mph), , , , , ,Carnivora, ,Pack, , ,Canidae, ,7 - 10 years, ,Carnivore,Least Concern, , ,4,Arctic Wolf, ,Animalia, , , ,Human, , , , ,Mammalia,Thick| warm fur and loud howling noise, , , , , , ,Canis,Grass plains and tundra forests, , , , ,White| Grey,
https://a-z-animals.com/media/animals/images/470x370/armadillo.jpg ,Chordata,36cm - 75cm (14in - 30in), , ,Insects| Ants| Termites, , ,Dasypodidae,4kg - 30kg (9lbs - 66lbs),Mammal, , , , ,Boney Plates,Insects, ,48km/h (30mph), , , , , ,Cingulata, ,Solitary, , ,Dasypodidae, ,4 - 12 years, ,Omnivore,Endangered, , ,4,Armadillo, ,Animalia, , , ,Bear| Wolf| Coyote, , , , ,Mammalia, , , , ,Armoured plated skin and can curl into a ball, , ,Dasypus,Forest and grasslands, , , , ,Pink| Grey| Black,
https://a-z-animals.com/media/animals/images/470x370/asian_elephant3.jpg ,Chordata, , , ,Grass| Fruit| Roots, , ,Elephas Maximus,3|000kg - 5|000kg (6|500lbs - 11|000lbs),Mammal, , , , ,Leather,Grass, ,43km/h (27mph), , , , , ,Proboscidea, ,Herd, , ,Elephantidae, ,55 - 70 years, ,Herbivore,Endangered,2m - 3m (7ft - 10ft), ,1,Asian Elephant, ,Animalia, , , ,Human| Tiger, , , , ,Mammalia, , , , ,Long trunk and large feet, , ,Elephas,Rainforest and tropical woodland, , , , ,Grey| Brown| Black,
https://a-z-animals.com/media/animals/images/470x370/asian_giant_hornet4.jpg ,Arthropoda,2.7cm - 5.5cm (1.1in - 2.2in), , , , ,10 days,Vespa mandarinia, , , , , , ,Shell, , , , ,1  year,1 week,Asian Giant Hornet,Habitat loss,Hymenoptera,Giant Sparrow Bee,Diurnal, , ,Vespidae,50,3 - 5 months,Bees| Honeybees| Insects| Wasps,Carnivore,Threatened, ,Colony, ,Asian Giant Hornet,Eastern Asia,Animalia, ,Unknown,The largest wasp in the world!,Human, , , , ,Insecta, , , ,Larvae,Wide black and orange body and large mandibles, , ,Vespa,Dense woodland, ,Wasp,1, ,Black| Brown| Red| Orange| Yellow,
https://a-z-animals.com/media/animals/images/470x370/asian_palm_civet2.jpg ,Chordata, , , ,Rodents| Snakes| Frogs, , ,Paradoxurus Hermaphroditus,1.4kg - 4.5kg (3lbs - 10lbs),Mammal, , , , ,Fur,Rodents, , , , , , , ,Carnivora, ,Solitary, , ,Viverridae, ,15 - 20 years, ,Carnivore,Vulnerable,43cm - 71cm (17in - 28in), ,2,Asian Palm Civet, ,Animalia, , , ,Lions| Snakes| Leopards, , , , ,Mammalia, , , , ,Elongated body and snout with sharp| pointed teeth, , ,Paradoxurus,Tropical rainforest, , , , ,Black| White| Grey| Yellow| Brown| Tan,
https://a-z-animals.com/media/animals/images/470x370/australian_cattle_dog1.jpg , , , , , , , , , , ,Strong minded yet loyal and loving, , , , , , , , , , ,Australian Cattle Dog, , , , ,20kg (45lbs),15 years, , , , , , , , ,5,Australian Cattle Dog, , , , , , ,Should be trained from an early age and respond best to firm and fair training, , , , , ,50cm (20in), , , , , , , , ,Herd Dog, ,Australia,Grey| Red| Black,
https://a-z-animals.com/media/animals/images/470x370/australian_kelpie_dog.jpg , , , , , , , , , , ,Loyal and protective, , , , , , , , , , ,Australian Kelpie Dog, , , , ,20kg (45lbs),14 years, , , , , , , , ,5,Australian Kelpie Dog, , , , , , ,Should be trained from an early age and should be firm but fair, , , , , ,50cm (20in), , , , , , , , ,Herd Dog, ,Australia,Tan| Red| Black| Brown,
https://a-z-animals.com/media/animals/images/470x370/australian_mist1.jpg , , , , , , , , , , ,Affectionate| gentle and trustworthy, , , , , , , , , , ,Australian Mist, , , , ,4.5kg (10lbs),14 years, , , , , , , , ,4,Australian Mist, , , , , , , , , , , , ,60cm (2ft), , , , , , , , ,Shorthair, ,Australia,Brown| Blue| Chocolate| Lilac| Caramel| Gold| Peach,
https://a-z-animals.com/media/animals/images/470x370/australian_shepherd1.jpg , , , , , , , , , , ,Confident and independent yet loving and responsive|, , , , , , , , , , ,Australian Shepherd, , , , ,32kg (70lbs),14 years, , , , , , , , ,7,Australian Shepherd, , , , , , ,Should be trained from an early age and they are easy to train but it takes time, , , , , ,58cm (23in), , , , , , , , ,Herd Dog, ,North America,Tan| Red| Black| Brown| Grey,
https://a-z-animals.com/media/animals/images/470x370/australian_terrier1.jpg , , , , , , , , , , ,Courageous| energetic and confident, , , , , , , , , , ,Australian Terrier, , , , ,6kg (14lbs),14 years, , , , , , , , ,4,Australian Terrier, , , , , , ,Should be trained from an early age and respond best to fun and challenging training methods, , , , , ,25cm (10in), , , , , , , , ,Terrier, ,Australia,Tan| Gold| Black,
https://a-z-animals.com/media/animals/images/470x370/avocet.jpg ,Chordata,42cm - 45cm (16in - 18in), , ,Insects. Fish| Crustaceans, , ,Recurvirostra,140g - 400g (5oz - 14oz),Bird, ,77cm - 80cm (30in - 32in), , ,Feathers,Insects, ,40km/h (25mph), , , , , ,Charadriiformes, ,Flock, , ,Recurvirostridae, ,10 - 15 years, ,Carnivore,Least Concern, , , ,Avocet, ,Animalia,4, , ,Dogs| Cats| Stouts, , , , ,Aves, , , , ,Long curved beak and striking plumage, , ,Recurvirostra,Temperate wetlands, , , , ,White| Black,
https://a-z-animals.com/media/animals/images/470x370/axolotl6.jpg ,Chordata,15cm - 45cm (6in - 18in), , ,Worms| Insects| Molluscs, , ,Ambystoma Mexicanum,60g - 200g (2oz - 7oz),Amphibian, , , , ,Permeable,Worms, ,17km/h (10mph), , , , , ,Caudata, ,Solitary, , ,Ambystomatidae, ,10 - 20 years, ,Carnivore,Endangered, , ,500,Axolotl, ,Animalia, , , ,Birds| Fish, , , , ,Amphibia, , , , ,Feathery gills and flattened-shaped head, , ,Ambystoma,High altitude freshwater lakes, , , , ,Black| White| Pink| Grey| Brown,
https://a-z-animals.com/media/animals/images/470x370/aye_aye_.jpg ,Chordata,30cm - 40cm (12in - 15in), , , , , ,Daubentonia madagascariensis,2kg - 2.7kg (4lbs - 6lbs), , , , , ,Fur, , ,32kph (20mph), ,2 - 3 years, ,Aye Aye,Hunting and habitat loss,Primates, ,Nocturnal, , ,Daubentoniidae, ,10 - 23 years,Insects| Larvae| Fruit,Omnivore,Endangered, ,Solitary,1,Aye Aye ,Eastern coast of Madagascar,Animalia, ,1|000 - 10|000,Thought to be extinct until 1957!,Human| Fossa| Birds of Prey, , ,170 days, ,Mammalia, , , ,Infant, ,7 months,Elongated middle finger with hooked claw,Daubentonia,Dense| tropical rainforest, ,Mammal,1, ,Black| Dark Brown,
